Time,Esh,Esur,Tsh,Tsurr,Hsh,Hel,Hload,cAC,CEC,pEB,pEC,pEL,RDG,Eload,tEB,tAC,tLoad
0,0,86.6444,0,0,0,242,242,0,1082,118.889,432.8,322.667,2693,1732,107,0,107
1,0,48.5778,0,0,0,176,176,0,1113,145.556,445.2,234.667,2590,1716,131,0,131
2,0,0,462.282,0,0,155,155,411.167,710.833,0,284.333,206.667,2409,1918,0,316.282,146
3,0,0,1060.13,0,0,158,158,1176.67,3.33333,0,1.33333,210.667,2075,1863,0,905.128,155
4,0,0,898.385,0,0,153,153,982,225,0,90,204,2245,1951,0,755.385,143
5,0,0,1121,0,109.75,122.25,232,1235,0,0,0,163,2178,2015,0,950,171
6,0,0,1285.54,0,22.5,322.5,345,1302,0,0,0,430,2415,1985,0,1001.54,284
7,0,0,1307.38,0,82.25,291.75,374,1268,0,0,0,389,2477,2088,0,975.385,332
8,0,0,1112.62,0,0,345,345,974.5,412.5,0,165,460,2884,2259,0,749.615,363
9,0,0,1625.92,0,32,315,347,1634,0,0,0,420,2600,2180,0,1256.92,369
10,0,0,230.52,0,0,208,208,0,1662,163.867,664.8,277.333,3399,2293,147.48,0,378
11,0,0,770.128,0,0,197,197,474.667,1248.33,0,499.333,262.667,3198,2436,0,365.128,405
12,0,0,1014.46,0,0,174,174,680.5,1112.5,0,445,232,2884,2207,0,523.462,491
13,0,157.956,0,0,0,163,163,0,1704,471.111,681.6,217.333,3708,2180,424,0,424
14,0,0,1055.08,0,0,195,195,849,825,0,330,260,2703,2113,0,653.077,402
15,0,0,420.718,0,0,268,268,24.3333,1621.67,0,648.667,357.333,2945,1939,0,18.7179,402
16,0,0,1332.44,0,0,347,347,1205.67,413.333,0,165.333,462.667,2631,2003,0,927.436,405
17,0,0,1612,0,8.75,359.25,368,1573,0,0,0,479,2513,2034,0,1210,402
18,0,0,1071.92,0,0,432,432,886.5,747.5,0,299,576,2884,2009,0,681.923,390
19,0,0,1126.77,0,0,468,468,1008.5,482.5,0,193,624,2951,2134,0,775.769,351
20,0,0,145.4,0,0,479,479,0,1375,187.333,550,638.667,3440,2064,168.6,0,314
21,0,0,1228.31,0,0,471,471,1030,275,0,110,628,2714,1976,0,792.308,436
22,0,0,229.34,0,0,345,345,0,1204,67.4,481.6,460,2878,1869,60.66,0,290
23,0,711.667,1148.46,0,0,334,334,1207,0,0,0,445.333,2889,1732,0,928.462,220
