SolarOut,WindOut,Ess,ElectricGridBuy,ElectricGridSell,EssChg,EssDischg,Load,ElectricAbun
0,115.613,0,993.387,0,0,0,1109,0
0,148.897,0,1021.1,0,0,0,1170,0
0,279.134,0,884.866,0,0,0,1164,0
0,481.328,0,657.672,0,0,0,1139,0
100.85,575.158,0,459.992,0,0,0,1136,0
514.37,453.407,0,199.223,0,0,0,1167,0
1190.93,319.57,0,0,337.503,0,0,1173,0
1913.68,333.399,0,0,798.08,0,0,1449,0
3317.92,344.588,0,0,1864.51,0,0,1798,0
4353,367.303,0,0,2839.3,0,0,1881,0
4908.82,390.467,0,0,3430.28,0,0,1869,0
5019.69,414.08,0,0,3381.77,0,0,2052,0
5098.6,462.651,0,0,3677.26,0,0,1884,0
4633.2,500.257,0,0,3258.46,0,0,1875,0
4017.76,459.563,0,0,2590.32,0,0,1887,0
3023.7,341.78,0,0,1478.48,0,0,1887,0
1925.18,190.92,0,0,235.1,0,0,1881,0
859.177,104.869,0,806.954,0,0,0,1771,0
121.488,137.627,0,1596.89,0,0,0,1856,0
0,146.629,0,1719.37,0,0,0,1866,0
0,113.45,0,1580.55,0,0,0,1694,0
0,65.6393,0,1493.36,0,0,0,1559,0
0,0,0,1479,0,0,0,1479,0
0,0,0,1384,0,0,0,1384,0
