Time,Pload,Hload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy,HGsell,Hchg,Hdisch
1,169,130,138,128,75,77,0,0.210527,0,0.202,-0.210527,0,9,0,60,100,0,72,80,0,-21,1,0
2,175,125,139,129,75,77,0,0,0,0.677,-50,0,65,0,60,100,0,72,80,0,-27,0,0
3,179,120,143,133,75,77,0,0,0,1,-34,0,53,0,60,100,0,72,80,0,-32,0,0
4,171,120,149,139,75,77,0,0,-89,1,0,0,100,0,60,100,0,72,80,0,-32,0,0
5,181,125,150,140,75,77,0,0,-159,1,0,0,100,80,60,100,0,72,80,0,-27,0,0
6,190,135,152,142,75,77,0,0,-150,1,0,0,100,80,60,100,0,72,80,0,-17,0,0
7,270,150,155,145,75,77,0,0,-70,1,0,0,100,80,60,100,0,72,80,0,-2,0,0
8,264,160,158,148,75,77,10,0,-86,1,0,0,100,80,60,100,0,72,80,8,0,0,0
9,273,175,160,150,80,83,15,0,-82,1,0,0,100,80,60,100,80,72,80,0,-57,1,1
10,281,190,154,144,80,83,20,0,-79,1,0,0,100,80,60,100,80,72,80,0,-42,0,0
11,300,195,153,143,80,83,23,0,-63,1,0,0,100,80,60,100,80,72,80,0,-37,0,0
12,320,200,153,143,80,83,28,0,-48,1,0,0,100,80,60,100,80,72,80,0,-32,0,0
13,280,195,152,142,80,83,33,0,-93,1,0,0,100,80,60,100,80,72,80,0,-37,0,0
14,260,195,150,140,80,83,35,0,-115,1,0,0,100,80,60,100,80,72,80,0,-37,0,0
15,250,180,149,139,80,83,34,0,-44,1,0,0,100,0,60,100,80,72,80,0,-52,0,0
16,200,170,149,139,80,83,31,0,-91,1,0,0,100,0,60,100,80,72,80,0,-62,0,0
17,180,185,154,144,80,83,28,0,-188,1,0,0,100,80,60,100,80,72,80,0,-70,0,23
18,190,190,156,146,80,83,10,0,-160,1,0,0,100,80,60,100,80,72,80,0,-43,0,1
19,240,195,163,153,78,78,0,0,-100,1,0,0,100,80,60,100,0,72,80,43,0,0,0
20,280,200,164,154,78,78,0,0,-95,0.631579,0,35,100,80,60,100,0,72,80,48,0,0,0
21,325,195,164,154,78,78,0,0,-65,0.105263,0,50,100,80,60,100,0,72,80,43,0,0,0
22,350,190,160,150,78,78,0,0,0,0,0,10,100,80,60,100,0,72,80,38,0,0,0
23,300,180,150,140,78,78,0,0,-40,0,0,0,100,80,60,100,0,72,80,28,0,0,0
24,250,175,148,138,78,78,0,0,-10,0,0,0,100,0,60,100,0,72,80,23,0,0,0
