Time,Pload,Hload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,Rdg2,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy,HGsell,Pec,Hchg,Pevchg1,Pevdischg1,Pevchg2,Pevdischg2,Pevchg3,Pevdischg3,Pevchg4,Pevdischg4,Pevchg5,Pevdischg5
1,169,130,90,70,75,77,0,0,35.4652,-0,0.364274,-25.938,0,0,0,60,100,0,50,125,73,-0,0.527215,0.942181,-0,0,-0,0,-0,0,-0,0,-0,0
2,175,125,90,70,75,77,0,0,15,-0,0.364274,-0,0,0,0,60,100,0,50,125,68,-0,0,0.35294,-0,0,-0,0,-0,0,-0,0,-0,0
3,179,120,90,70,75,77,0,0,119.105,-0,0.997607,-100,0,0,0,60,100,0,50,125,39,-0,0.105264,0,-0,0,-0,0,-0,0,-0,0,-0,0
4,171,120,90,70,75,77,0,0,11,-0,0.997607,-0,0,0,0,60,100,0,50,125,63,-0,0,0.35294,-0,0,-0,0,-0,0,-0,0,-0,0
5,181,125,90,70,75,77,0,0,36.9912,-0,0.997607,-0,0,0,0,60,100,0,50,125,91,-0,0.157896,0,-0,0,-15.8333,0,-0,0,-0,0,-0,0
6,190,135,90,70,75,77,0,0,38.5111,-0,0.997607,-0,0,0,0,60,100,0,50,125,119,-0,0,0.176469,-8.51111,0,-0,0,-0,0,-0,0,-0,0
7,270,150,110,90,75,77,0,0,0,-0,0.997607,-0,0,80,30,60,100,0,50,125,151,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
8,264,160,110,90,75,77,10,10,0,-0,1,-0.377778,0,80,17,60,100,0,50,125,144,-0,0,0.176469,-0,0,-0,0,-12.6222,0,-0,0,-0,0
9,273,175,110,90,80,83,15,15,0,-0,1,-0,0,0,83,60,100,80,50,125,67,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
10,281,190,110,90,80,83,20,20,0,-0,1,-0,0,0,87,60,100,80,50,125,88,-0,0,0.0588223,-0,0,-0,0,-0.222222,0,-0,0,-5.77778,0
11,300,195,110,90,80,83,23,23,0,-0,1,-0,0,80,14,60,100,80,50,125,105,-0,0,0.294116,-0,0,-0,0,-0,0,-0,0,-0,0
12,320,200,125,105,80,83,28,28,0,-66,1,-0,0,80,90,60,100,80,50,125,121,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
13,280,195,125,105,80,83,33,33,0,-126.64,1,-0,0,80,90,60,100,80,50,125,116,-0,0,0,-0,0,-0,0,-0,0,-0,10.64,-0,0
14,260,195,125,105,80,83,35,35,0,-140,1,-0,0,80,90,60,100,80,50,125,93,-0,0,0.0588223,-0,0,-0,0,-0,0,-0,0,-0,0
15,250,180,125,105,80,83,34,34,0,-248,0.298246,-0,100,80,90,60,100,80,50,125,66,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
16,200,170,125,105,80,83,31,31,0,-214.5,0.140351,-0,22.5,80,90,60,100,80,50,125,30,-0,1.42109e-14,0,-0,0,-0,0,-0,0,-0,0,-0,0
17,180,185,125,105,80,83,28,28,0,-206,0.140351,-0,0,80,90,60,100,80,50,125,36,-0,0,0.117646,-0,0,-0,0,-0,0,-0,0,-0,0
18,190,190,125,105,80,83,10,10,0,-160,0.140351,-0,0,80,90,60,100,80,50,125,29,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
19,240,195,110,90,78,78,0,0,0,-0,0.140351,-0,0,80,2.84217e-14,60,100,0,50,125,179,-0,0,0.176469,-0,0,-0,0,-0,0,-0,0,-0,0
20,280,200,110,90,78,78,0,0,0,-0,0.140351,-0,0,80,40,60,100,0,50,125,201,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
21,325,195,110,90,78,78,0,0,0,-0,0.140351,-0,0,80,85,60,100,0,50,125,179,-0,0,0.176469,-0,0,-0,0,-0,0,-0,0,-0,0
22,350,190,110,90,78,78,0,0,0,-0,0,-0,20,80,90,60,100,0,50,125,180,-0,0,0.294116,-0,0,-0,0,-0,0,-0,0,-0,0
23,300,180,110,90,78,78,0,0,0,-0,0,-0,0,80,60,60,100,0,50,125,134,-0,1.42109e-14,0,-0,0,-0,0,-0,0,-0,0,-0,0
24,250,175,110,90,78,78,0,0,0,-0,0,-0,0,80,10,60,100,0,50,125,147,-0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0
